Epic,StoryID,StoryTitle,Description,AcceptanceCriteria,Priority,Dependencies,SourceSheet,SourceRow
Shopper-WebApp,WEB-11,Checkout & payment,"Checkout flow with address pick/add, delivery method/carrier selection, summary, voucher per type, VAT info, notes, COD/Payoo payment, and order email. [Source: Phụ_Lục_01 r56 cDESCRIPTION][Source: Phụ_Lục_01 r57 cDESCRIPTION][Source: Phụ_Lục_01 r60 cDESCRIPTION][Source: Phụ_Lục_01 r61 cDESCRIPTION][Source: Phụ_Lục_01 r63 cDESCRIPTION][Source: Phụ_Lục_01 r64 cDESCRIPTION]","Totals follow formula; shipping voucher capped at fee; Payoo success creates order at status Đang xử lý else cart restored; emails sent to customer/warehouse.",High,"WEB-06;WEB-07;WEB-08;WEB-10;INTEG-01",Phụ_Lục_01,"56|57|60|61|63|64"
Shopper-WebApp,WEB-12,CMS & Help center,"Expose CMS homepage, categories, article lists/detail, blocks, and help center with chat/phone links. [Source: Phụ_Lục_01 r65 cITEM][Source: Phụ_Lục_01 r71 cITEM][Source: Phụ_Lục_01 r75 cDESCRIPTION]","CMS pages render on web/app; help links open configured chat/phone targets.",Medium,WEB-01,Phụ_Lục_01,"65|71|75"
Shopper-WebApp,WEB-13,Promotion browsing,"List promotion programs and their product lists with buy flow. [Source: Phụ_Lục_01 r77 cITEM][Source: Phụ_Lục_01 r78 cDESCRIPTION][Source: Phụ_Lục_01 r79 cDESCRIPTION]","Promo list visible; selecting promo filters products; add-to-cart works from promo list.",Medium,"WEB-09;PORTAL-15",Phụ_Lục_01,"77|78|79"
Shopper-WebApp,WEB-14,"Reviews, favorites, recently viewed","Enable customers to submit reviews (with moderation), track recently viewed, and manage favorites. [Source: Phụ_Lục_01 r40 cDESCRIPTION][Source: Phụ_Lục_01 r41 cDESCRIPTION][Source: Phụ_Lục_01 r42 cDESCRIPTION]","Reviews stored pending approval; recently viewed capped at n with most recent first; favorites list persists per user.",Low,WEB-09,Phụ_Lục_01,"40|41|42"
Portal,PORTAL-01,Portal auth & staff provisioning,"Implement portal login for staff, Super Admin account creation, and password reset via email. [Source: Phụ_Lục_01 r160 cDESCRIPTION]","Only Super Admin can create staff; login requires issued credentials; reset email flow works.",High,,Phụ_Lục_01,160
Portal,PORTAL-02,Category & group management,"CRUD catalog categories and product groups with hierarchy. [Source: Phụ_Lục_01 r161 cITEM][Source: Phụ_Lục_01 r162 cDESCRIPTION]","Categories support nesting; groups tied to categories; list/search works.",High,PORTAL-01,Phụ_Lục_01,"161|162"
Portal,PORTAL-03,"Product info, alerts, and promotions","Manage product list/detail (SKU, media, variants, expiry), configure alerts (expiry/min stock), and schedule promotions/discounts. [Source: Phụ_Lục_01 r163 cITEM][Source: Phụ_Lục_01 r166 cDESCRIPTION][Source: Phụ_Lục_01 r167 cDESCRIPTION][Source: Phụ_Lục_01 r168 cDESCRIPTION]","Alert triggers at expiry/min thresholds; promotion schedule by date/day/hour enforced; product detail stores variants and pricing.",High,PORTAL-02,Phụ_Lục_01,"163|166|167|168"
Portal,PORTAL-04,Lot & warehouse configuration,"Maintain product lots with supplier/cost/qty/location, delivery distance limits, and warehouse locations. [Source: Phụ_Lục_01 r169 cDESCRIPTION][Source: Phụ_Lục_01 r170 cDESCRIPTION][Source: Phụ_Lục_01 r184 cDESCRIPTION]","Lots include location code and quantities; delivery distance limit enforced when assigning carriers; location codes auto-increment.",Medium,PORTAL-03,Phụ_Lục_01,"169|170|184"
Portal,PORTAL-05,Order management & status mapping,"Order list with filters/export, order detail, customer/internal status mapping, and carrier reassignment before pickup. [Source: Phụ_Lục_01 r174 cDESCRIPTION][Source: Phụ_Lục_01 r175 cDESCRIPTION][Source: Phụ_Lục_01 r176 cDESCRIPTION][Source: Phụ_Lục_01 r178 cDESCRIPTION]","Filters return correct sets; status transitions follow mapping; carrier swap retains customer fee; audit log recorded.",High,"PORTAL-03;PORTAL-04",Phụ_Lục_01,"174|175|176|178"
Portal,PORTAL-06,E-invoice list & export,"Maintain list of VAT invoices per month and export to Excel. [Source: Phụ_Lục_01 r179 cDESCRIPTION]","Invoice list filterable by month; export file matches displayed records.",Medium,PORTAL-05,Phụ_Lục_01,179
Portal,PORTAL-07,Warehouse operations,"Warehouse master data and movement tracking (import/export/returns/quarantine) with MIN/MAX checks. [Source: Phụ_Lục_01 r182 cDESCRIPTION][Source: Phụ_Lục_01 r183 cDESCRIPTION]","Movements recorded with type/qty; reorder above MAX blocked; warehouse list shows owner contact.",Medium,PORTAL-04,Phụ_Lục_01,"182|183"
Portal,PORTAL-08,Supplier management & notifications,"Supplier CRUD/grouping, bank details, PO history statuses, auto/manual notifications (debt, PO events, surveys). [Source: Phụ_Lục_01 r186 cDESCRIPTION][Source: Phụ_Lục_01 r188 cDESCRIPTION][Source: Phụ_Lục_01 r189 cDESCRIPTION][Source: Phụ_Lục_01 r190 cDESCRIPTION][Source: Phụ_Lục_01 r191 cDESCRIPTION]","Supplier records include bank info; PO history shows statuses; notifications logged with template and recipients.",High,PORTAL-07,Phụ_Lục_01,"186|188|189|190|191"
Portal,PORTAL-09,Debt dashboards,"Show debts for customers, suppliers, carriers (COD/fees), and payment gateways by period. [Source: Phụ_Lục_01 r192 cITEM][Source: Phụ_Lục_01 r195 cDESCRIPTION][Source: Phụ_Lục_01 r196 cDESCRIPTION]","Period filters applied; COD/fee totals displayed; exports include required columns.",Medium,"PORTAL-05;PORTAL-08",Phụ_Lục_01,"192|195|196"
Portal,PORTAL-10,Shipping configuration,"Manage carrier activation, delivery methods, warehouse-destination routing, and COD payment methods. [Source: Phụ_Lục_01 r198 cITEM][Source: Phụ_Lục_01 r199 cDESCRIPTION][Source: Phụ_Lục_01 r200 cDESCRIPTION][Source: Phụ_Lục_01 r201 cDESCRIPTION]","Routes resolve carrier list per warehouse+province; delivery methods map to carriers; COD options limited to configured modes.",High,PORTAL-05,Phụ_Lục_01,"198|199|200|201"
Portal,PORTAL-11,Shipper roster & assignments,"Manage in-house shipper roster, credentials, performance ranking, and assignment UI for orders. [Source: Phụ_Lục_01 r203 cDESCRIPTION][Source: Phụ_Lục_01 r204 cDESCRIPTION][Source: Phụ_Lục_01 r205 cDESCRIPTION]","Shipper list editable; assignment view shows required fields; pickup/delivered toggles update statuses; ranking shows counts.",Medium,PORTAL-10,Phụ_Lục_01,"203|204|205"
Portal,PORTAL-12,Staff groups & permissions,"Staff groups, list, and per-module permissions (view/create/delete/edit, promos, import/export). [Source: Phụ_Lục_01 r207 cITEM][Source: Phụ_Lục_01 r209 cDESCRIPTION]","Permissions enforced in UI/API; staff appear under assigned group with contact info.",High,PORTAL-01,Phụ_Lục_01,"207|209"
Portal,PORTAL-13,CRM & complaints,"Customer list with filters, detail view, group auto-rules, complaint workflow, manual/auto notifications, rating moderation. [Source: Phụ_Lục_01 r212 cDESCRIPTION][Source: Phụ_Lục_01 r214 cDESCRIPTION][Source: Phụ_Lục_01 r215 cDESCRIPTION][Source: Phụ_Lục_01 r216 cDESCRIPTION][Source: Phụ_Lục_01 r217 cDESCRIPTION][Source: Phụ_Lục_01 r218 cDESCRIPTION]","Filters return correct segment; auto rules add customers to groups; complaint statuses tracked; outbound sends logged; reviews moderated.",High,"PORTAL-12;PORTAL-05",Phụ_Lục_01,"212|214|215|216|217|218"
Portal,PORTAL-14,Content management,"Manage article categories/tags, articles, and static pages for CMS surface. [Source: Phụ_Lục_01 r220 cITEM][Source: Phụ_Lục_01 r222 cITEM][Source: Phụ_Lục_01 r224 cITEM]","Articles/tag relations saved; static pages publish/unpublish; content syncs to shopper CMS.",Medium,PORTAL-12,Phụ_Lục_01,"220|222|224"
Portal,PORTAL-15,Voucher & point configuration,"Administer discount and free-ship vouchers with scopes/limits and point-to-voucher conversion. [Source: Phụ_Lục_01 r228 cDESCRIPTION][Source: Phụ_Lục_01 r229 cDESCRIPTION][Source: Phụ_Lục_01 r230 cDESCRIPTION]","Voucher validation enforces scope and frequency; conversion creates voucher with configured value and deducts points.",High,PORTAL-03,Phụ_Lục_01,"228|229|230"
Supplier Portal,SUPPLIER-01,Supplier auth & profile,"Supplier login with admin-issued account, password reset via email/SMS OTP, view profile with bank info and notification contacts. [Source: Phụ_Lục_01 r232 cDESCRIPTION][Source: Phụ_Lục_01 r233 cDESCRIPTION]","Only issued accounts can login; reset works via email/SMS; profile shows bank info and secondary contacts.",Medium,PORTAL-08,Phụ_Lục_01,"232|233"
Supplier Portal,SUPPLIER-02,Supplier PO tracking,"Supplier views PO list with statuses, products, quantities, prices, and delivery deadlines. [Source: Phụ_Lục_01 r234 cDESCRIPTION]","PO list shows defined statuses and item details; supplier cannot edit prices/quantities.",Medium,SUPPLIER-01,Phụ_Lục_01,234
Reporting,REPORT-01,Revenue analytics dashboard,"Build dashboards with time filters, totals (gross/net, promos, shipping fees), best sellers, revenue by payment/province/customer type/promo, and trends. [Source: Phụ_Lục_01 r236 cDESCRIPTION][Source: Phụ_Lục_01 r237 cDESCRIPTION][Source: Phụ_Lục_01 r239 cDESCRIPTION][Source: Phụ_Lục_01 r243 cDESCRIPTION]","Filters day/week/month/year/custom; charts render comparisons; tables show required aggregates.",Medium,PORTAL-05,Phụ_Lục_01,"236|237|239|243"
Notifications,NOTIF-01,Notification templates & broadcasts,"Configure notification templates per module/role, send order emails, and manual broadcasts to groups/individuals. [Source: Phụ_Lục_01 r81 cDESCRIPTION][Source: Phụ_Lục_01 r82 cITEM][Source: Phụ_Lục_01 r216 cDESCRIPTION]","Templates stored with channel; order emails include summary; broadcasts log recipients and channel.",High,PORTAL-12,Phụ_Lục_01,"81|82|216"
Integrations,INTEG-01,Payoo payment integration,"Integrate Payoo for online payments across web/app checkout. [Source: Phụ_Lục_01 r16 cDESCRIPTION][Source: Phụ_Lục_01 r63 cDESCRIPTION]","Successful Payoo transaction marks order as paid; failures return cart intact; transaction refs stored.",High,WEB-01,Phụ_Lục_01,"16|63"
Integrations,INTEG-02,E-invoice gateway integration,"Queue and send VAT invoices via external gateway 10 days after delivery. [Source: Phụ_Lục_01 r61 cDESCRIPTION][Source: Phụ_Lục_01 r179 cDESCRIPTION]","Delivered orders scheduled for invoice push at +10 days; status visible in invoice list; failures retried/logged.",High,PORTAL-05,Phụ_Lục_01,"61|179"
Integrations,INTEG-03,GTM & manual shipping fallback,"Implement GTM tracking across web/app and manual flow when carriers unavailable. [Source: Task Breakdown r36 cD]","GTM container configurable; fallback toggle logs manual handling steps when carrier API fails.",Medium,"WEB-01;PORTAL-05",Task Breakdown,36
